sub_chapter_name,hsn,rate,chapter_name,sub_category_name,category_name
"OTHER TUBES, PIPES AND HOLLOW PROFILES (FOR EXAMPLE, OPEN SEAM OR WELDED, RIVETED OR SIMILARLY CLOSED), OF IRON OR STEEL ",HSN 7306 19 11,18,Chapter 73 : Articles of iron or steel,Of iron,Galvanised pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 90 91,18,Chapter 73 : Articles of iron or steel,Of iron,Other: 
OTHER ARTICLES OF COPPER ,HSN 7419 91 00,18,Chapter 74 : Copper and articles thereof,"Cast, moulded, stamped or forged, but not further worked",Other: 
OTHER ARTICLES OF COPPER ,HSN 7419 10 29,,Chapter 74 : Copper and articles thereof,Other,Parts: 
OTHER ARTICLES OF COPPER ,HSN 7419 10 21,28,Chapter 74 : Copper and articles thereof,Of copper chains,Parts: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 90 10,18,Chapter 73 : Articles of iron or steel,High pressure hydroelectric conduits of steel,Other: 
OTHER ARTICLES OF COPPER ,HSN 7419 10 10,12,Chapter 74 : Copper and articles thereof,Chain,Chain and parts thereof: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 90 21,18,Chapter 73 : Articles of iron or steel,Of iron,ERW precision tubes: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 20 10,28,Chapter 74 : Copper and articles thereof,Sanitary ware,Sanitary ware and parts thereof: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 20 20,28,Chapter 74 : Copper and articles thereof,Parts of sanitary ware,Sanitary ware and parts thereof: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 10 90,5,Chapter 74 : Copper and articles thereof,Parts,Other: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 10 23,18,Chapter 74 : Copper and articles thereof,Of other copper alloys,Utensils: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 10 24,12,Chapter 74 : Copper and articles thereof,E.P.N.S. ware,Utensils: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 10 21,28,Chapter 74 : Copper and articles thereof,Of brass,Utensils: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 10 10,18,Chapter 74 : Copper and articles thereof,"Pot scourers and scouring or polishing pads, gloves and the like","Table, kitchen or other household articles and parts thereof; Pot scourers and scouring or polishing pads, gloves and the like: "
"NAILS, TACKS, DRAWING PINS, STAPLES (OTHER THAN THOSE OF HEADING 8305) AND SIMILAR ARTICLES, OF COPPER OR OF IRON OR STEEL WITH HEADS OF COPPER; SCREWS, BOLTS, NUTS, SCREW HOOKS, RIVETS, COTTERS, COTTER-PINS, WASHERS (INCLUDING SPRING WASHERS) AND SIMILAR ARTICLES, OF COPPER ",HSN 7415 39 10,18,Chapter 74 : Copper and articles thereof,Rivets (excluding tubular or bifurcated),Other: 
"NAILS, TACKS, DRAWING PINS, STAPLES (OTHER THAN THOSE OF HEADING 8305) AND SIMILAR ARTICLES, OF COPPER OR OF IRON OR STEEL WITH HEADS OF COPPER; SCREWS, BOLTS, NUTS, SCREW HOOKS, RIVETS, COTTERS, COTTER-PINS, WASHERS (INCLUDING SPRING WASHERS) AND SIMILAR ARTICLES, OF COPPER ",HSN 7415 39 90,,Chapter 74 : Copper and articles thereof,Other,Other: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 10 22,28,Chapter 74 : Copper and articles thereof,Of copper,Utensils: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 10 39,,Chapter 74 : Copper and articles thereof,Other,Other: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF COPPER; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF COPPER; SANITARY WARE AND PARTS THEREOF, OF COPPER ",HSN 7418 10 31,18,Chapter 74 : Copper and articles thereof,Of E.P.N.S.,Other: 
"NAILS, TACKS, DRAWING PINS, STAPLES (OTHER THAN THOSE OF HEADING 8305) AND SIMILAR ARTICLES, OF COPPER OR OF IRON OR STEEL WITH HEADS OF COPPER; SCREWS, BOLTS, NUTS, SCREW HOOKS, RIVETS, COTTERS, COTTER-PINS, WASHERS (INCLUDING SPRING WASHERS) AND SIMILAR ARTICLES, OF COPPER ",HSN 7415 33 90,,Chapter 74 : Copper and articles thereof,Other,Screws; bolts and nuts: 
"NAILS, TACKS, DRAWING PINS, STAPLES (OTHER THAN THOSE OF HEADING 8305) AND SIMILAR ARTICLES, OF COPPER OR OF IRON OR STEEL WITH HEADS OF COPPER; SCREWS, BOLTS, NUTS, SCREW HOOKS, RIVETS, COTTERS, COTTER-PINS, WASHERS (INCLUDING SPRING WASHERS) AND SIMILAR ARTICLES, OF COPPER ",HSN 7415 33 10,18,Chapter 74 : Copper and articles thereof,Screws for wood,Screws; bolts and nuts: 
"NAILS, TACKS, DRAWING PINS, STAPLES (OTHER THAN THOSE OF HEADING 8305) AND SIMILAR ARTICLES, OF COPPER OR OF IRON OR STEEL WITH HEADS OF COPPER; SCREWS, BOLTS, NUTS, SCREW HOOKS, RIVETS, COTTERS, COTTER-PINS, WASHERS (INCLUDING SPRING WASHERS) AND SIMILAR ARTICLES, OF COPPER ",HSN 7415 29 00,,Chapter 74 : Copper and articles thereof,Other,"Other articles, not threaded: "
OTHER ARTICLES OF ALUMINIUM ,HSN 7616 99 90,,Chapter 76 : Aluminium and articles thereof,Other,Other: 
OTHER ARTICLES OF ALUMINIUM ,HSN 7616 10 00,18,Chapter 76 : Aluminium and articles thereof,"Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter-pins, washers and similar articles",
OTHER ARTICLES OF ALUMINIUM ,HSN 7616 99 30,18,Chapter 76 : Aluminium and articles thereof,Bobbins,Other: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 20 20,5,Chapter 76 : Aluminium and articles thereof,Parts,Sanitary ware and parts thereof: 
OTHER ARTICLES OF ALUMINIUM ,HSN 7616 99 20,12,Chapter 76 : Aluminium and articles thereof,Chains,Other: 
OTHER ARTICLES OF ALUMINIUM ,HSN 7616 99 10,18,Chapter 76 : Aluminium and articles thereof,Expanded metal of aluminium and aluminium alloys,Other: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 20 90,,Chapter 76 : Aluminium and articles thereof,Other,Sanitary ware and parts thereof: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 20 10,28,Chapter 76 : Aluminium and articles thereof,Sanitary ware of aluminium and aluminium alloys for indoor use,Sanitary ware and parts thereof: 
OTHER ARTICLES OF ALUMINIUM ,HSN 7616 91 00,18,Chapter 76 : Aluminium and articles thereof,"Cloth, grill, netting and fencing, of aluminium wire",Other: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 10 90,5,Chapter 76 : Aluminium and articles thereof,Parts,Utensils: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 22,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Knives, scissors and blades",Surgical tools: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 24,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Chisel, gauges, elevators, raspatones, osteotome, craniotome, bone cutters",Surgical tools: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 29,,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Other,Surgical tools: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 25,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Retractors, spatulaprobes, hooks dialators, sounds, mallets",Surgical tools: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 21,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Bone saws, drills and trephines",Surgical tools: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 23,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Forceps, forcep clamps, clips, needle holders, introducers, cephalotribe bone holding and other holding instruments",Surgical tools: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 19,,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Other,Diagnostic instruments and apparatus: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 50 90,,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Other,Other ophthalmic instruments and appliances: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 12,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Stethoscopes,Diagnostic instruments and apparatus: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 50 30,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Ophthalmic lasers,Other ophthalmic instruments and appliances: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 49 00,,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Other,"Other instruments and appliances, used in dental sciences: "
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 50 20,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Tonometers,Other ophthalmic instruments and appliances: 
OTHER ENGINES AND MOTORS ,HSN 8412 80 19,,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Other,Steam or other vapour power: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 50 10,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Opthalmoscopes,Other ophthalmic instruments and appliances: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 90 11,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Instrument and apparatus for measuring blood pressure,Diagnostic instruments and apparatus: 
OTHER ENGINES AND MOTORS ,HSN 8412 80 11,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Stationary,Steam or other vapour power: 
OTHER ENGINES AND MOTORS ,HSN 8412 39 00,,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Other,Pneumatic power engines and motors: 
OTHER ENGINES AND MOTORS ,HSN 8412 31 00,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Linear acting (cylinders),Pneumatic power engines and motors: 
OTHER ENGINES AND MOTORS ,HSN 8412 29 90,,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Other,Other: 
OTHER ENGINES AND MOTORS ,HSN 8412 10 00,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Reaction engines other than turbo-jets,
OTHER ENGINES AND MOTORS ,HSN 8412 29 10,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Hydrojet (hydraulic jet engines),Other: 
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 99 00,,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Other,Parts: 
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 91 00,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Of turbo-jets or turbo-propellers,Parts: 
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 82 40,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Of power exceeding 60000 but not exceeding 90000 Kw,"Of a power exceeding 5,000 kW: "
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 82 60,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Of power exceeding 115000 Kw,"Of a power exceeding 5,000 kW: "
OTHER ENGINES AND MOTORS ,HSN 8412 21 00,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Linear acting (cylinders),Hydraulic power engines and motors: 
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 82 50,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Of power exceeding 90000 but not exceeding 115000 Kw,"Of a power exceeding 5,000 kW: "
"SPOONS, FORKS, LADLES, SKIMMERS, CAKE-SERVERS, FISH-KNIVES, BUTTER- KNIVES, SUGAR TONGS AND SIMILAR KITCHEN OR TABLEWARE ",HSN 8215 99 00,,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Other,
"SPOONS, FORKS, LADLES, SKIMMERS, CAKE-SERVERS, FISH-KNIVES, BUTTER- KNIVES, SUGAR TONGS AND SIMILAR KITCHEN OR TABLEWARE ",HSN 8215 91 00,12,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Plated with precious metal,
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 82 30,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Of power exceeding 30000 but not exceeding 60000 Kw,"Of a power exceeding 5,000 kW: "
"OTHER ARTICLES OF CUTLERY (FOR EXAMPLE, HAIR CLIPPERS, BUTCHERS? OR KITCHEN CLEAVERS, CHOPPERS AND MINCING KNIVES, PAPER KNIVES); MANICURE OR PEDICURE SETS AND INSTRUMENTS (INCLUDING NAIL FILES) ",HSN 8214 90 90,,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Other,Other: 
"OTHER ARTICLES OF CUTLERY (FOR EXAMPLE, HAIR CLIPPERS, BUTCHERS? OR KITCHEN CLEAVERS, CHOPPERS AND MINCING KNIVES, PAPER KNIVES); MANICURE OR PEDICURE SETS AND INSTRUMENTS (INCLUDING NAIL FILES) ",HSN 8214 90 10,18,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Handles of cutlery of base metal,Other: 
"SPOONS, FORKS, LADLES, SKIMMERS, CAKE-SERVERS, FISH-KNIVES, BUTTER- KNIVES, SUGAR TONGS AND SIMILAR KITCHEN OR TABLEWARE ",HSN 8215 10 00,12,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Sets of assorted articles containing at least one article plated with precious metal,
"OTHER ARTICLES OF CUTLERY (FOR EXAMPLE, HAIR CLIPPERS, BUTCHERS? OR KITCHEN CLEAVERS, CHOPPERS AND MINCING KNIVES, PAPER KNIVES); MANICURE OR PEDICURE SETS AND INSTRUMENTS (INCLUDING NAIL FILES) ",HSN 8214 10 10,12,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal","Paper knives, letter openers, erasing knives, pencil sharpeners","Paper knives, letter openers, erasing knives, pencil sharpeners and blades therefor: "
"OTHER ARTICLES OF CUTLERY (FOR EXAMPLE, HAIR CLIPPERS, BUTCHERS? OR KITCHEN CLEAVERS, CHOPPERS AND MINCING KNIVES, PAPER KNIVES); MANICURE OR PEDICURE SETS AND INSTRUMENTS (INCLUDING NAIL FILES) ",HSN 8214 10 90,18,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Blades,"Paper knives, letter openers, erasing knives, pencil sharpeners and blades therefor: "
"OTHER ARTICLES OF CUTLERY (FOR EXAMPLE, HAIR CLIPPERS, BUTCHERS? OR KITCHEN CLEAVERS, CHOPPERS AND MINCING KNIVES, PAPER KNIVES); MANICURE OR PEDICURE SETS AND INSTRUMENTS (INCLUDING NAIL FILES) ",HSN 8214 20 90,,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Other,Manicure or pedicure sets and instruments (including nail files): 
"SPOONS, FORKS, LADLES, SKIMMERS, CAKE-SERVERS, FISH-KNIVES, BUTTER- KNIVES, SUGAR TONGS AND SIMILAR KITCHEN OR TABLEWARE ",HSN 8215 20 00,12,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Other sets of assorted articles Other:,
RAZORS AND RAZOR BLADES (INCLUDING RAZOR BLADES BLANKS IN STRIPS) ,HSN 8213 00 00,18,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal","Scissors, tailors? shears and similar shears, and blades therefor","Safety razor blades, including razor blade blanks in strips: "
"OTHER ARTICLES OF CUTLERY (FOR EXAMPLE, HAIR CLIPPERS, BUTCHERS? OR KITCHEN CLEAVERS, CHOPPERS AND MINCING KNIVES, PAPER KNIVES); MANICURE OR PEDICURE SETS AND INSTRUMENTS (INCLUDING NAIL FILES) ",HSN 8214 20 10,18,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Nail cutters,Manicure or pedicure sets and instruments (including nail files): 
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 23 11,18,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Refrigerated,Lorries and trucks: 
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 22 19,,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Other,Lorries and trucks: 
RAZORS AND RAZOR BLADES (INCLUDING RAZOR BLADES BLANKS IN STRIPS) ,HSN 8212 90 00,18,"Chapter 82 : Tools,implements,cutlery, spoons and forks of base metal; parts thereof of base metal",Other parts,"Safety razor blades, including razor blade blanks in strips: "
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 21 90,,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Other,g.v.w. not exceeding 5 tonnes: 
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 21 20,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Three-wheeled motor vehicles,g.v.w. not exceeding 5 tonnes: 
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 22 90,,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Other,Lorries and trucks: 
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 10 90,,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Other,Dumpers designed for off-highway use: 
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 10 10,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",With net weight (excluding pay-load) exceeding 8 tonnes and maximum pay-load capacity not less than 10 tonnes,Dumpers designed for off-highway use: 
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 21 10,18,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Refrigerated,g.v.w. not exceeding 5 tonnes: 
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 80 40,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Three-wheeled vehicles,"Other vehicles, with only electric motor for propulsion: "
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 80 90,,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Other,"Other vehicles, with only electric motor for propulsion: "
MOTOR VEHICLES FOR THE TRANSPORT OF GOODS ,HSN 8704 22 11,18,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Refrigerated,Lorries and trucks: 
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 90 00,,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Other,Other: 
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 80 20,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof","Specialised transport vehicles such as ambulances, prison vans and the like","Other vehicles, with only electric motor for propulsion: "
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 80 10,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof","Vehicles principally designed for transport of more than seven persons,  including driver","Other vehicles, with only electric motor for propulsion: "
