chapter_name,sub_chapter_name,category_name,sub_category_name,hsn,rate
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Passenger boarding bridges: ,Of a kind used in airports,HSN 8479 71 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Passenger boarding bridges: ,Other,HSN 8479 79 00,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery for the extraction or preparation of animal or fixed vegetable fats or oils: ,Other,HSN 8479 20 90,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery for the extraction or preparation of animal or fixed vegetable fats or oils: ,Rope or cable-making machines,HSN 8479 40 00,12
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery for the extraction or preparation of animal or fixed vegetable fats or oils: ,Evaporative air coolers,HSN 8479 60 00,12
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery for the extraction or preparation of animal or fixed vegetable fats or oils: ,Presses for the manufacture of particle board or fibre building board of wood or other ligneous materials and other machinery for treating wood or cork,HSN 8479 30 00,12
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery for the extraction or preparation of animal or fixed vegetable fats or oils: ,Oil seed crushing or grinding machinery including purifying tanks,HSN 8479 20 10,12
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery for the extraction or preparation of animal or fixed vegetable fats or oils: ,"Industrial robots, not elsewhere specified or included",HSN 8479 50 00,12
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES AND MECHANICAL APPLIANCES HAVING INDIVIDUAL FUNCTIONS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",,"Machinery for public works, building or the like",HSN 8479 10 00,12
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR PREPARING OR MAKING UP TOBACCO, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery: ,Cigarette making machinery,HSN 8478 10 20,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR PREPARING OR MAKING UP TOBACCO, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery: ,Parts,HSN 8478 90 00,5
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR PREPARING OR MAKING UP TOBACCO, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery: ,Other,HSN 8478 10 90,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR PREPARING OR MAKING UP TOBACCO, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Machinery: ,Cigar making machinery,HSN 8478 10 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR WORKING RUBBER OR PLASTICS OR FOR THE MANUFACTURE OF PRODUCTS FROM THESE MATERIALS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Other machinery for moulding or otherwise forming: ,Other,HSN 8477 59 00,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR WORKING RUBBER OR PLASTICS OR FOR THE MANUFACTURE OF PRODUCTS FROM THESE MATERIALS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",,Vacuum moulding machines and other thermoforming machines,HSN 8477 40 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR WORKING RUBBER OR PLASTICS OR FOR THE MANUFACTURE OF PRODUCTS FROM THESE MATERIALS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",,Extruders,HSN 8477 20 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC GOODS-VENDING MACHINES (FOR EXAMPLE, POSTAGE STAMPS, CIGARETTE, FOOD OR BEVERAGE MACHINES), INCLUDING MONEY-CHANGING MACHINES ",Parts: ,Other,HSN 8476 90 90,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR WORKING RUBBER OR PLASTICS OR FOR THE MANUFACTURE OF PRODUCTS FROM THESE MATERIALS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",,Injection-moulding machines,HSN 8477 10 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR WORKING RUBBER OR PLASTICS OR FOR THE MANUFACTURE OF PRODUCTS FROM THESE MATERIALS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Other machinery: ,Parts,HSN 8477 90 00,5
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR WORKING RUBBER OR PLASTICS OR FOR THE MANUFACTURE OF PRODUCTS FROM THESE MATERIALS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",,Blow moulding machines,HSN 8477 30 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC GOODS-VENDING MACHINES (FOR EXAMPLE, POSTAGE STAMPS, CIGARETTE, FOOD OR BEVERAGE MACHINES), INCLUDING MONEY-CHANGING MACHINES ",Parts: ,Of machines of sub-heading 847621,HSN 8476 90 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC GOODS-VENDING MACHINES (FOR EXAMPLE, POSTAGE STAMPS, CIGARETTE, FOOD OR BEVERAGE MACHINES), INCLUDING MONEY-CHANGING MACHINES ",Other: ,Other,HSN 8476 89 90,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC GOODS-VENDING MACHINES (FOR EXAMPLE, POSTAGE STAMPS, CIGARETTE, FOOD OR BEVERAGE MACHINES), INCLUDING MONEY-CHANGING MACHINES ",Incorporating heating or refrigerating devices: ,Incorporating refrigerating devices,HSN 8476 21 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC GOODS-VENDING MACHINES (FOR EXAMPLE, POSTAGE STAMPS, CIGARETTE, FOOD OR BEVERAGE MACHINES), INCLUDING MONEY-CHANGING MACHINES ",Other: ,Money changing machines,HSN 8476 89 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC GOODS-VENDING MACHINES (FOR EXAMPLE, POSTAGE STAMPS, CIGARETTE, FOOD OR BEVERAGE MACHINES), INCLUDING MONEY-CHANGING MACHINES ",Other: ,Cigarette vending machines,HSN 8476 89 30,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR WORKING RUBBER OR PLASTICS OR FOR THE MANUFACTURE OF PRODUCTS FROM THESE MATERIALS, NOT SPECIFIED OR INCLUDED ELSEWHERE IN THIS CHAPTER ",Other machinery for moulding or otherwise forming: ,For moulding or retreading pneumatic tyres or for moulding or otherwise forming inner tubes,HSN 8477 51 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES FOR ASSEMBLING ELECTRIC OR ELECTRONIC LAMPS, TUBES OR VALVES OR FLASH-BULBS, IN GLASS ENVELOPES; MACHINES OF MANUFACTURING OR HOT WORKING GLASS OR GLASSWARE ",Machines for manufacturing or hot working glass or glassware: ,Other,HSN 8475 29 00,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES FOR ASSEMBLING ELECTRIC OR ELECTRONIC LAMPS, TUBES OR VALVES OR FLASH-BULBS, IN GLASS ENVELOPES; MACHINES OF MANUFACTURING OR HOT WORKING GLASS OR GLASSWARE ",Machines for manufacturing or hot working glass or glassware: ,Machines for making optical fibres and performs thereof,HSN 8475 21 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES FOR ASSEMBLING ELECTRIC OR ELECTRONIC LAMPS, TUBES OR VALVES OR FLASH-BULBS, IN GLASS ENVELOPES; MACHINES OF MANUFACTURING OR HOT WORKING GLASS OR GLASSWARE ",,"Machines for assembling electric or electronic lamps, tubes or valves or flash-bulbs, in glass envelopes",HSN 8475 10 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Other machinery: ,Parts,HSN 8474 90 00,5
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Other machinery: ,Ceramic and clay making machinery,HSN 8474 80 20,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Other machinery: ,Brick and tile making machinery,HSN 8474 80 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINES FOR ASSEMBLING ELECTRIC OR ELECTRONIC LAMPS, TUBES OR VALVES OR FLASH-BULBS, IN GLASS ENVELOPES; MACHINES OF MANUFACTURING OR HOT WORKING GLASS OR GLASSWARE ",Machines for manufacturing or hot working glass or glassware: ,Parts,HSN 8475 90 00,5
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Concrete or mortar mixers: ,Other,HSN 8474 39 00,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Concrete or mortar mixers: ,Machines for mixing mineral substances with bitumen,HSN 8474 32 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Concrete or mortar mixers: ,Mortar mixers,HSN 8474 31 20,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC GOODS-VENDING MACHINES (FOR EXAMPLE, POSTAGE STAMPS, CIGARETTE, FOOD OR BEVERAGE MACHINES), INCLUDING MONEY-CHANGING MACHINES ",Other: ,Postage stamps vending machines,HSN 8476 89 20,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Concrete or mortar mixers: ,Concrete mixers,HSN 8474 31 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Crushing or grinding machines: ,Other,HSN 8474 20 90,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Crushing or grinding machines: ,For stone and mineral,HSN 8474 20 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ","Sorting, screening, separating or washing machines: ",Other,HSN 8474 10 90,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ",Crushing or grinding machines: ,For coal,HSN 8474 20 20,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","MACHINERY FOR SORTING, SCREENING, SEPARATING, WASHING, CRUSHING, GRINDING, MIXING OR KNEADING EARTH, STONE, ORES OR OTHER MINERAL SUBSTANCES, IN SOLID (INCLUDING POWDER OR PASTE) FORM; MACHINERY FOR AGGLOMERATING, SHAPING OR MOULDING SOLID MINERAL FUELS, CERAMIC PASTE, UNHARDENED CEMENTS, PLASTERING MATERIALS OR OTHER MINERAL PRODUCTS IN POWDER OR PASTE FORM; MACHINES FOR FORMING FOUNDRY MOULDS OF SAND ","Sorting, screening, separating or washing machines: ",For coal,HSN 8474 10 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Other: ,Graphic & intelligence based Script Technology (GIST) cards for multilingual computers,HSN 8473 30 92,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Other: ,Other,HSN 8473 30 99,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Parts and accessories of the machines of heading 8472: ,"Parts of duplicating, hectograph or stencil machines",HSN 8473 40 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Other: ,Network access controllers,HSN 8473 30 91,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Parts and accessories of the machines of heading 8471: ,Head stack,HSN 8473 30 40,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Parts and accessories of the machines of heading 8471: ,Motherboards,HSN 8473 30 20,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Parts and accessories of the machines of heading 8471: ,Microprocessors,HSN 8473 30 10,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Parts and accessories of the machines of heading 8470: ,Other,HSN 8473 29 00,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Parts and accessories of the machines of heading 8471: ,Other mounted printed circuit boards,HSN 8473 30 30,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","PARTS AND ACCESSORIES (OTHER THAN  COVERS, CARRYING CASES AND THE LIKE) SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO 8472 ",Parts and accessories of the machines of heading 8470: ,"Of the electronic calculating machines of subheading 8470 10, 8470 21 or 8471 29",HSN 8473 21 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","OTHER OFFICE MACHINES (FOR EXAMPLE, HECTOGRAPH OR STENCIL DUPLICATING MACHINES, ADDRESSING MACHINES, AUTOMATIC BANK NOTE DISPENSERS, COIN SORTING MACHINES, COIN COUNTING OR WRAPPING MACHINES, PENCIL- SHARPENING MACHINES, PERFORATING OR STAPLING MACHINE) ",Other: ,Automatic  typewriters,HSN 8472 90 92,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","OTHER OFFICE MACHINES (FOR EXAMPLE, HECTOGRAPH OR STENCIL DUPLICATING MACHINES, ADDRESSING MACHINES, AUTOMATIC BANK NOTE DISPENSERS, COIN SORTING MACHINES, COIN COUNTING OR WRAPPING MACHINES, PENCIL- SHARPENING MACHINES, PERFORATING OR STAPLING MACHINE) ",Other: ,Word-processing machines,HSN 8472 90 91,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","OTHER OFFICE MACHINES (FOR EXAMPLE, HECTOGRAPH OR STENCIL DUPLICATING MACHINES, ADDRESSING MACHINES, AUTOMATIC BANK NOTE DISPENSERS, COIN SORTING MACHINES, COIN COUNTING OR WRAPPING MACHINES, PENCIL- SHARPENING MACHINES, PERFORATING OR STAPLING MACHINE) ",Other: ,Automatic Teller Machines,HSN 8472 90 30,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","OTHER OFFICE MACHINES (FOR EXAMPLE, HECTOGRAPH OR STENCIL DUPLICATING MACHINES, ADDRESSING MACHINES, AUTOMATIC BANK NOTE DISPENSERS, COIN SORTING MACHINES, COIN COUNTING OR WRAPPING MACHINES, PENCIL- SHARPENING MACHINES, PERFORATING OR STAPLING MACHINE) ",Other: ,Digital duplicator,HSN 8472 90 20,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","OTHER OFFICE MACHINES (FOR EXAMPLE, HECTOGRAPH OR STENCIL DUPLICATING MACHINES, ADDRESSING MACHINES, AUTOMATIC BANK NOTE DISPENSERS, COIN SORTING MACHINES, COIN COUNTING OR WRAPPING MACHINES, PENCIL- SHARPENING MACHINES, PERFORATING OR STAPLING MACHINE) ",Other: ,"Coin sorting machines, coin-counting or wrapping machines",HSN 8472 90 40,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING DATA ON TO DATA MEDIA IN CODED FORM AND MACHINES FOR PROCESSING SUCH DATA, NOT ELSEWHERE SPECIFIED OR INCLUDED ",Storage units: ,Other,HSN 8471 90 00,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","OTHER OFFICE MACHINES (FOR EXAMPLE, HECTOGRAPH OR STENCIL DUPLICATING MACHINES, ADDRESSING MACHINES, AUTOMATIC BANK NOTE DISPENSERS, COIN SORTING MACHINES, COIN COUNTING OR WRAPPING MACHINES, PENCIL- SHARPENING MACHINES, PERFORATING OR STAPLING MACHINE) ",,Duplicating machines,HSN 8472 10 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING DATA ON TO DATA MEDIA IN CODED FORM AND MACHINES FOR PROCESSING SUCH DATA, NOT ELSEWHERE SPECIFIED OR INCLUDED ",Storage units: ,Other,HSN 8471 70 90,
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING DATA ON TO DATA MEDIA IN CODED FORM AND MACHINES FOR PROCESSING SUCH DATA, NOT ELSEWHERE SPECIFIED OR INCLUDED ",Storage units: ,Digital video disc drive,HSN 8471 70 70,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING DATA ON TO DATA MEDIA IN CODED FORM AND MACHINES FOR PROCESSING SUCH DATA, NOT ELSEWHERE SPECIFIED OR INCLUDED ",Storage units: ,Other units of automatic data processing machines,HSN 8471 80 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","OTHER OFFICE MACHINES (FOR EXAMPLE, HECTOGRAPH OR STENCIL DUPLICATING MACHINES, ADDRESSING MACHINES, AUTOMATIC BANK NOTE DISPENSERS, COIN SORTING MACHINES, COIN COUNTING OR WRAPPING MACHINES, PENCIL- SHARPENING MACHINES, PERFORATING OR STAPLING MACHINE) ",,"Machines for sorting or folding mail or for inserting mail in envelopes or bands, machines for opening, closing or sealing mail and machines for affixing or cancelling postage stamps",HSN 8472 30 00,18
"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING DATA ON TO DATA MEDIA IN CODED FORM AND MACHINES FOR PROCESSING SUCH DATA, NOT ELSEWHERE SPECIFIED OR INCLUDED ",Storage units: ,Magnetic tape drives,HSN 8471 70 40,18
